,season,winner-country,winner,score,runner-up,runner-up-country,stadium,final-city,final-country,attendance,winning-way,year
54,2009–10,Italia,Inter Milan,2–0,Bayern Munich,Alemania,Santiago Bernabéu,Madrid,España,73490,normal time,2010
55,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011
56,2011–12,Inglaterra,Chelsea,1–1,Bayern Munich,Alemania,Allianz Arena,Munich,Alemania,62500,penalty,2012
57,2012–13,Alemania,Bayern Munich,2–1,Borussia Dortmund,Alemania,Wembley Stadium,Londres,Inglaterra,86298,normal time,2013
58,2013–14,España,Real Madrid,4–1,Atlético Madrid,España,Estádio da Luz,Lisboa,Portugal,60976,extra time,2014
59,2014–15,España,Barcelona,3–1,Juventus,Italia,Olympiastadion,Berlina,Alemania,70442,normal time,2015
60,2015–16,España,Real Madrid,1–1,Atlético Madrid,España,San Siro,Milán,Italia,71942,penalty,2016
61,2016–17,España,Real Madrid,4–1,Juventus,Italia,Millennium Stadium,Cardiff,Gales,65842,normal time,2017
62,2017–18,España,Real Madrid,3–1,Liverpool,Inglaterra,NSC Olimpiyskiy Stadium,Kyiv,Ucrania,61561,normal time,2018
63,2018–19,Inglaterra,Liverpool,2–0,Tottenham Hotspur,Inglaterra,Metropolitano Stadium,Madrid,España,63272,normal time,2019
64,2019–20,Alemania,Bayern Munich,1–0,Paris Saint-Germain,Francia,Estádio da Luz,Lisboa,Portugal,0,normal time,2020
65,2020–21,Inglaterra,Chelsea,1–0,Manchester City,Inglaterra,Estádio do Dragão,Oporto,Portugal,14110,normal time,2021
66,2021–22,España,Real Madrid,1–0,Liverpool,Inglaterra,Stade de France,San denis,Francia,75000,normal time,2022
67,2022–23,Inglaterra,Manchester City,1–0,Inter Milan,Italia,Atatürk Olympic Stadium,Estanbul,Turquía,71412,normal time,2023
68,2023–24,España,Real Madrid,2–0,Borussia Dortmund,Alemania,Wembley Stadium,Londres,Inglaterra,86212,normal time,2024
